entrez	order	max_neg	min_neg	mean_neg	sd_neg	GO_P1	GO_P2	GO_P3	GO_P4	GO_P5	GO_P6	GO_P7	GO_P8	GO_P9	GO_P10	GO_P11	GO_P12	GO_P13	GO_P14	GO_P15	GO_P16	GO_P17
7226	3401	7.3105	6.078	6.65922018348624	0.283497635622715	0.111473284324254	1	1	1	0.0843355571627543	1	0.116806208001857	0.00837180895312094	0.0285275302634422	1	0.0411526232424863	1	1	0.186643658634838	0.00520325491401026	0.0158757477718644	0.0139047617868734
84302	6019	8.661	5.978	7.34974311926605	0.684927725352717	1	1	1	1	1	1	1	0.00382950382950364	0.00732600732600719	1	1	1	1	1	0.0029970029970029	1	1
222235	7317	9.087	5.897	6.73708256880734	0.833235440121711	0.029093833944113	0.0163668799661508	0.00796544130765275	1	0.0217693453446048	0.00895714523714242	0.0305528678478949	0.0339497037079688	1	1	0.010443048873003	1	1	0.0502985986206728	1	1	1
10599	1650	6.5	5.82	6.04264220183486	0.107885636717414	0.0386056047951299	1	1	1	0.000378726526819979	1	0.000752027235176789	1.1536111592027e-05	8.05642741109275e-05	1	0.0139009240498078	0.0237214605125992	1	1	0.0353877306202683	1.13600042136524e-05	0.00465347361347845
11166	1810	11.797	5.903	8.23593577981651	1.64489524193752	0.0542553833392089	2.84618156211055e-13	2.07627374558549e-15	0.017783914987479	1	1	1	3.51706269346378e-05	0.000242424438430535	0.0187116150511055	1	0.0334431211223535	1	0.0929002436105903	1	1	1
92154	4059	7.868	5.564	6.10254128440367	0.248230796583359	0.000681199189767251	1	1	1	1	1	0.0405316030143533	1	1	1	1	1	1	1	0.00057077799073197	1	1
59271	7994	10.1	6.018	7.75801834862385	0.623501462495706	1	1	1	1	1	1	1	0.0190035220314855	0.000525021412303385	1	0.00581458167119986	1	1	0.0282607081881623	8.76539770199335e-05	0.00221827775523531	0.00194120852213386
55190	10385	8.078	6.1845	6.68095871559633	0.434450531687464	5.6373338792672e-05	9.66820125443708e-06	1.00648619753329e-06	0.000263039310947497	0.00142721373047632	0.000235533829222702	0.00281338798808267	0.00347145244887954	0.0121856252243583	0.000292039000617041	0.0264816050202654	0.0449849217862125	0.0425373940341744	0.123604380196976	0.066745009043895	1	1
55048	7501	12.109	9.722	10.9065963302752	0.397406409183952	0.0542553833392089	0.0306969165825213	9.97667713089042e-05	0.017783914987479	0.0407305766251639	0.016855389522028	0.0569387183459922	0.00189394494443492	0.00674072008212452	0.0187116150511055	0.000174108056849089	0.0334431211223535	0.031613133008326	0.00416167310732981	0.00116490320651277	0.00752458604326345	1
56896	476	6.867	5.945	6.23901834862385	0.172064855432553	2.7625252616606e-06	0.000116168687847988	2.65185305218743e-05	0.00945266666452393	0.000207543093489516	3.37936102202529e-05	3.21142783405111e-06	4.4411701787347e-06	0.0640484052062225	0.00994796784792418	4.63473463474682e-05	0.0178429034120761	1	1.48636698257615e-05	0.0266577728475202	1	1
26108	11653	7.384	5.829	6.14349541284404	0.194642294129381	0.000681199189767251	1.21763416828826e-06	1.25776196778266e-07	2.17393127186389e-07	0.0289223440917886	0.0119259835062606	0.0405316030143533	0.0450118521974116	1.30169421017799e-06	0.0132430129572135	0.0139009240498078	0.000252965211360753	1	0.00205760439844874	0.0353877306202683	1	1
390181	6533	6.432	5.698	5.98361467889908	0.136464410518239	0.025902732401174	1	1	1	0.0193735895389253	1	0.000321885967891972	0.00039871529308756	0.00144899389259537	1	0.00928785981448532	1	1	1	0.000244018199821883	0.0035471766583699	0.00310438253590539
3397	6319	10.537	6.205	8.61804587155963	0.858636026835597	8.85621418251226e-07	5.83486176554041e-12	1.38618270702902e-05	2.3833661698746e-05	0.000308939121571183	0.0013080019705978	0.000849262310974852	2.75295910186196e-11	1.85728675665839e-10	3.36832445412136e-07	0.00178498832583161	0.000169398629350181	0.0971012086088704	0.0382001864093517	0.00056648244330152	1	1
374454	10808	6.994	5.671	6.07595412844037	0.16977372660894	0.029093833944113	0.0163668799661508	0.00796544130765275	1	0.0217693453446048	0.00895714523714242	0.0305528678478949	0.0339497037079688	1	1	4.63473463474682e-05	1	1	0.00113496433918291	0.0266577728475202	0.00398979867873261	1
4124	7402	8.4485	6.4605	7.7624128440367	0.291713955246154	1	1	0.0202379906710008	0.0239887399637724	0.00142721373047632	1	0.00281338798808267	0.0845153596418502	2.18739771584549e-05	1	0.0264816050202654	0.0449849217862125	0.0425373940341744	0.123604380196976	0.00214225022283396	4.34404258558437e-05	1
